,Seller Name,Seller type,BHK,Location,Total Price,price per sqft,Area_sqft,Construction status
311,Maaruthi Group,AGENT,2 BHK Apartment,"Miyapur, Hyderabad", 68 L,"5,913 ",1150 ,Ready to move
312,Maaruthi Group,AGENT,2 BHK Apartment,"Miyapur, Hyderabad", 68.5 L,"5,614 ",1220 ,Ready to move
313,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 52 L,"4,727 ",1100 ,Ready to move
314,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,818 ",1100 ,Ready to move
315,Maaruthi Group,AGENT,2 BHK Apartment,"Sultanpur, Hyderabad", 53 L,"4,818 ",1100 ,Ready to move
316,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,774 ",1110 ,Ready to move
317,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 57.36 L,"4,800 ",1195 ,Ready to move
318,Maaruthi Group,AGENT,3 BHK Apartment,"Hyder Nagar, Hyderabad", 83 L,"5,203 ",1595 ,Ready to move
319,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 73.43 L,"5,605 ",1310 ,Ready to move
320,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 58 L,"5,087 ",1140 ,Ready to move
