,Seller Name,Seller type,BHK,Location,Total Price,price per sqft,Area_sqft,Construction status
150,Sukhii Group,BUILDER,2 BHK Apartment,"Nanakramguda, Hyderabad", 99.92 L,"7,599 ",1315 ,Under Construction
151,Sukhii Group,BUILDER,4 BHK Apartment,"Nanakramguda, Hyderabad", 1.69 Cr,"7,599 ",2230 ,Under Construction
152,Sukhii Group,BUILDER,4 BHK Apartment,"Nanakramguda, Hyderabad", 1.69 Cr,"7,599 ",2230 ,Under Construction
153,Sukhii Group,BUILDER,3 BHK Apartment,"Nanakramguda, Hyderabad", 1.13 Cr,"7,599 ",1500 ,Under Construction
154,Sukhii Group,BUILDER,3 BHK Apartment,"Nanakramguda, Hyderabad", 1.13 Cr,"7,599 ",1500 ,Under Construction
155,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 79.71 L,"4,998 ",1595 ,Under Construction
156,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 1.09 Cr,"4,998 ",2195 ,Under Construction
157,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 1.09 Cr,"4,998 ",2195 ,Under Construction
158,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 74.72 L,"4,998 ",1495 ,Under Construction
159,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 74.72 L,"4,998 ",1495 ,Under Construction
160,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 94.71 L,"4,998 ",1895 ,Under Construction
161,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 94.71 L,"4,998 ",1895 ,Under Construction
162,Merlion Builders,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 90.7 L,"5,599 ",1620 ,Under Construction
163,Merlion Builders,BUILDER,2 BHK Apartment,"Nizampet, Hyderabad", 71.41 L,"5,600 ",1275 ,Under Construction
164,Merlion Builders,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 1.03 Cr,"5,599 ",1853 ,Under Construction
165,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 26.25 L,"1,444 ",1818 ,New
166,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 24.04 L,"1,444 ",1665 ,New
167,Alekya Infraa Developers,AGENT,Residential Plot,"Kothur Patti Digwal, Hyderabad", 20 L,"1,346 ",1485 ,New
168,Alekya Infraa Developers,AGENT,Residential Plot,"Kothur Patti Digwal, Hyderabad", 34 L,"2,289 ",1485 ,New
